Period,Seller,Buyer,SDR Price,Trading Price,Trading Energy,Seller Profit,Buyer Profit,Seller Utility,Buyer Utility,Total_Utility
1,2,4,5.04,5.08,0.334,0.494,1.643,0.125,1.197,0.149625
1,3,4,5.04,4.75,0.536,0.616,2.814,0.008,1.136,0.009088
1,3,1,3.6,3.6,0.246,0.0,0.0,0.0,0.0,0.0
