Period,Seller,Buyer,SDR Price,Trading Price,Trading Energy,Seller Profit,Buyer Profit,Seller Utility,Buyer Utility,Total_Utility
1,2,3,6.25,6.54,0.13,0.382,0.32,2.198,1.797,3.949806
1,2,4,5.76,7.08,0.27,0.94,0.248,2.483,0.852,2.115516
1,2,1,3.6,3.6,0.01,0.0,0.0,0.0,0.0,0.0
